Time, Position, Left, Up, Dir, WorldVel, WorldCarUp, IsGroundContact, IsWheelsBurning, IsReactorGroundMode, CurGear, FrontSpeed, InputSteer, InputGasPedal, InputBrakePedal, FLSteerAngle, FLWheelRot, FLWheelRotSpeed, FLDamperLen, FLSlipCoef, FRSteerAngle, FRWheelRot, FRWheelRotSpeed, FRDamperLen, FRSlipCoef, RLSteerAngle, RLWheelRot, RLWheelRotSpeed, RLDamperLen, RLSlipCoef, RRSteerAngle, RRWheelRot, RRWheelRotSpeed, RRDamperLen, RRSlipCoef
2764823, vec3(752; 66; 1200), vec3(-1; 0; 0), vec3(0; 1; 0), vec3(0; 0; -1), vec3(0; 0; 0), vec3(0; 1; 0), false, false, false, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2764872, vec3(752; 66; 1200), vec3(-1; 0; 0), vec3(0; 1; 0), vec3(0; 0; -1), vec3(0; 0; 0), vec3(0; 1; 0), false, false, false, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2764922, vec3(752; 66; 1200), vec3(-1; 0; 0), vec3(0; 1; 0), vec3(0; 0; -1), vec3(0; 0; 0), vec3(0; 1; 0), false, false, false, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2764972, vec3(752; 66; 1200), vec3(-1; 0; 0), vec3(0; 1; 0), vec3(0; 0; -1), vec3(0; 0; 0), vec3(0; 1; 0), false, false, false, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2765022, vec3(752; 66; 1200), vec3(-1; 0; 0), vec3(0; 1; 0), vec3(0; 0; -1), vec3(0; 0; 0), vec3(0; 1; 0), false, false, false, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2765073, vec3(752; 66; 1200), vec3(-1; 0; 0), vec3(0; 1; 0), vec3(0; 0; -1), vec3(0; 0; 0), vec3(0; 1; 0), false, false, false, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2765123, vec3(752; 66; 1200), vec3(-1; 0; 0), vec3(0; 1; 0), vec3(0; 0; -1), vec3(0; 0; 0), vec3(0; 1; 0), false, false, false, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2765175, vec3(752; 66; 1200), vec3(-1; 0; 0), vec3(0; 1; 0), vec3(0; 0; -1), vec3(0; 0; 0), vec3(0; 1; 0), false, false, false, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2765231, vec3(752; 66; 1200), vec3(-1; 0; 0), vec3(0; 1; 0), vec3(0; 0; -1), vec3(0; 0; 0), vec3(0; 1; 0), false, false, false, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2765272, vec3(752; 66; 1200), vec3(-1; 0; 0), vec3(0; 1; 0), vec3(0; 0; -1), vec3(0; 0; 0), vec3(0; 1; 0), false, false, false, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
